(0.998, 1.0)	(0.996, 1.0)	(0.997, 1.0)	(0.999, 1.0)	(1.0, 1.0)	(0.999, 1.0)	(0.997, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.998, 1.0)
(0.999, 1.0)	(0.999, 1.0)	(0.998, 1.0)	(0.999, 1.0)	(0.997, 1.0)	(1.0, 1.0)	(1.0, 1.0)	(0.998, 1.0)	(0.998, 1.0)	(0.999, 1.0)
(0.996, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(1.0, 1.0)	(0.998, 1.0)	(0.998, 1.0)	(0.999, 1.0)	(1.0, 1.0)	(0.999, 1.0)	(0.999, 1.0)
(0.999, 1.0)	(0.997, 1.0)	(0.997, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.998, 1.0)	(0.999, 1.0)	(0.997, 1.0)
(0.999, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(1.0, 1.0)	(0.997, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.998, 1.0)	(0.999, 1.0)
(1.0, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(1.0, 1.0)	(0.998, 1.0)	(0.999, 1.0)	(0.997, 1.0)	(0.997, 1.0)
(0.999, 1.0)	(0.999, 1.0)	(0.998, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(1.0, 1.0)	(0.999, 1.0)	(0.998, 1.0)	(0.997, 1.0)	(0.998, 1.0)
(0.995, 1.0)	(0.999, 1.0)	(0.998, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(1.0, 1.0)	(1.0, 1.0)	(0.999, 1.0)
(1.0, 1.0)	(1.0, 1.0)	(1.0, 1.0)	(0.999, 1.0)	(0.997, 1.0)	(0.999, 1.0)	(0.998, 1.0)	(0.999, 1.0)	(0.999, 1.0)	(0.997, 1.0)
